	MSZoning	Street	Alley	LotShape	LandContour	Utilities	LotConfig	LandSlope	Neighborhood	Condition1	Condition2	BldgType	HouseStyle	RoofStyle	RoofMatl	Exterior1st	Exterior2nd	MasVnrType	Foundation	BsmtExposure	BsmtFinType1	BsmtFinType2	Heating	CentralAir	Electrical	Functional	GarageType	GarageFinish	PavedDrive	PoolQC	Fence	MiscFeature	SaleType	SaleCondition	ExterQual	ExterCond	BsmtQual	BsmtCond	HeatingQC	KitchenQual	FireplaceQu	GarageQual	GarageCond	Id	MSSubClass	LotFrontage	LotArea	OverallQual	OverallCond	YearBuilt	YearRemodAdd	MasVnrArea	BsmtFinSF1	BsmtFinSF2	BsmtUnfSF	TotalBsmtSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	TotRmsAbvGrd	Fireplaces	GarageYrBlt	GarageCars	GarageArea	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	MiscVal	MoSold	YrSold	SalePrice	TotSqFt
10	3	1	2	3	3	0	4	0	19	2	2	0	2	3	0	6	6	2	1	3	4	5	1	1	4	6	5	2	2	3	4	4	8	4	3	3	3	3	5	3	0	3	3	11	20	70.0	11200	5	5	1965	1965	0.0	906	0	134	1040	0	1040	1	0	1	0	3	1	5	0	1965.0	1	384	0	0	0	0	0	0	0	2	2008	11.771436160121729	1040
11	3	1	2	0	3	0	4	0	16	2	2	0	5	3	0	14	15	3	2	3	2	5	1	1	4	6	3	0	2	3	4	4	6	5	5	3	5	3	5	5	4	3	3	12	60	85.0	11924	9	5	2005	2006	286.0	998	0	177	1175	0	2324	1	0	3	0	4	1	11	2	2005.0	3	736	147	21	0	0	0	0	0	7	2006	12.751299696013497	2324
12	3	1	2	1	3	0	4	0	19	2	2	0	2	3	0	6	10	2	1	3	0	5	1	1	4	6	5	2	2	3	4	4	8	4	3	3	3	3	3	3	0	3	3	13	20	0.0	12968	5	6	1962	1962	0.0	737	0	175	912	0	912	1	0	1	0	2	1	4	0	1962.0	1	352	140	0	0	0	176	0	0	9	2008	11.877568578558138	912
13	3	1	2	0	3	0	4	0	5	2	2	0	2	1	0	12	13	3	2	0	5	5	1	1	4	6	1	1	2	3	4	4	6	5	4	3	4	3	5	4	4	3	3	14	20	91.0	10652	7	5	2006	2007	306.0	0	0	1494	1494	0	1494	0	0	2	0	3	1	7	1	2006.0	3	840	160	33	0	0	0	0	0	8	2007	12.540757571577291	1494
14	3	1	2	0	3	0	0	0	12	2	2	0	2	3	0	8	8	1	1	3	1	5	1	1	4	6	1	1	2	3	1	4	8	4	3	3	3	3	3	3	2	3	3	15	20	0.0	10920	6	5	1960	1960	212.0	733	0	520	1253	0	1253	1	0	1	1	2	1	5	1	1960.0	1	352	0	213	176	0	0	0	0	5	2008	11.964001084330445	1253
15	4	1	2	3	3	0	0	0	3	2	2	0	1	1	0	13	14	2	0	3	5	5	1	1	0	6	5	2	2	3	0	4	8	4	3	3	3	3	5	3	0	3	3	16	45	51.0	6120	7	8	1929	2001	0.0	0	0	832	832	0	854	0	0	1	0	2	1	5	0	1991.0	2	576	48	112	0	0	0	0	0	7	2007	11.790557201568507	854
16	3	1	2	0	3	0	1	0	12	2	2	0	2	1	0	13	14	1	1	3	0	5	1	1	4	6	1	0	2	3	4	2	8	4	3	3	3	3	5	3	3	3	3	17	20	0.0	11241	6	7	1970	1970	180.0	578	0	426	1004	0	1004	1	0	1	0	2	1	5	1	1970.0	2	480	0	0	0	0	0	0	700	3	2010	11.911701584927597	1004
17	3	1	2	3	3	0	4	0	19	2	2	2	2	1	0	8	8	2	3	4	6	6	1	1	4	6	4	2	2	3	4	2	8	4	3	3	0	0	3	3	0	3	3	18	90	72.0	10791	4	5	1967	1967	0.0	0	0	0	0	0	1296	0	0	2	0	2	2	6	0	1967.0	2	516	0	0	0	0	0	0	500	10	2006	11.407564949312402	1296
18	3	1	2	3	3	0	4	0	20	5	2	0	2	1	0	12	13	2	2	3	2	5	1	1	4	6	5	2	2	3	4	4	8	4	3	3	3	3	5	4	0	3	3	19	20	66.0	13695	5	5	2004	2004	0.0	646	0	468	1114	0	1114	1	0	1	1	3	1	6	0	2004.0	2	576	0	102	0	0	0	0	0	6	2008	11.976659481202368	1114
19	3	1	2	3	3	0	4	0	12	2	2	0	2	3	0	3	10	2	1	3	3	5	1	1	4	2	1	2	2	3	2	4	0	0	3	3	3	3	3	3	0	3	3	20	20	70.0	7560	5	6	1958	1965	0.0	504	0	525	1029	0	1339	0	0	1	0	3	1	6	0	1958.0	1	294	0	0	0	0	0	0	0	5	2009	11.842229212112828	1339
20	3	1	2	0	3	0	0	0	16	2	2	0	5	1	0	12	13	1	2	0	5	5	1	1	4	6	3	1	2	3	4	4	6	5	4	3	5	3	5	4	4	3	3	21	60	101.0	14215	8	5	2005	2006	380.0	0	0	1158	1158	0	2376	0	0	3	1	4	1	9	1	2005.0	3	853	240	154	0	0	0	0	0	11	2006	12.692503112461443	2376
21	4	1	0	3	0	0	4	0	9	2	2	0	1	1	0	13	14	2	2	3	5	5	1	1	1	6	1	2	0	3	0	4	8	4	3	3	3	3	5	4	4	3	3	22	45	57.0	7449	7	7	1930	1950	0.0	0	0	637	637	0	1108	0	0	1	0	3	1	6	1	1930.0	1	280	0	0	205	0	0	0	0	6	2007	11.845102777308561	1108
22	3	1	2	3	3	0	4	0	5	2	2	0	2	3	0	12	13	1	2	3	5	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	4	3	3	23	20	75.0	9742	8	5	2002	2002	281.0	0	0	1777	1777	0	1795	0	0	2	0	3	1	7	1	2002.0	2	534	171	159	0	0	0	0	0	9	2008	12.345834587905333	1795
23	4	1	2	3	3	0	4	0	10	2	2	4	2	1	0	5	5	2	2	3	2	5	1	1	4	6	1	2	2	3	4	4	8	4	3	3	4	3	3	3	3	3	3	24	120	44.0	4224	5	7	1976	1976	0.0	840	0	200	1040	0	1060	1	0	1	0	3	1	6	1	1976.0	2	572	100	110	0	0	0	0	0	6	2007	11.77452020265869	1060
24	3	1	2	0	3	0	4	0	19	2	2	0	2	1	0	9	10	2	1	2	4	0	1	1	4	6	1	2	2	3	2	4	8	4	3	4	3	3	5	4	3	3	3	25	20	0.0	8246	5	8	1968	2001	0.0	188	668	204	1060	0	1060	1	0	1	0	3	1	6	1	1968.0	1	270	406	90	0	0	0	0	0	5	2010	11.944707881395766	1060
25	3	1	2	3	3	0	0	0	16	2	2	0	2	1	0	12	13	3	2	3	5	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	4	3	3	26	20	110.0	14230	8	5	2007	2007	640.0	0	0	1566	1566	0	1600	0	0	2	0	3	1	7	1	2007.0	3	890	0	56	0	0	0	0	0	7	2009	12.454103912352162	1600
26	3	1	2	3	3	0	0	0	12	2	2	0	2	1	0	13	14	2	1	2	1	4	1	1	4	6	5	2	2	3	4	4	8	4	3	3	3	3	3	4	0	3	3	27	20	60.0	7200	5	7	1951	2000	0.0	234	486	180	900	0	900	0	1	1	0	3	1	5	0	2005.0	2	576	222	32	0	0	0	0	0	5	2010	11.811547477460344	900
27	3	1	2	3	3	0	4	0	16	2	2	0	2	1	0	12	13	3	2	3	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	5	3	5	4	4	3	3	28	20	98.0	11478	8	5	2007	2008	200.0	1218	0	486	1704	0	1704	1	0	2	0	3	1	7	1	2008.0	3	772	0	50	0	0	0	0	0	5	2010	12.631340380934517	1704
28	3	1	2	0	3	0	1	0	12	2	2	0	2	1	0	8	8	2	1	1	1	5	1	1	4	6	1	1	2	3	4	4	8	4	3	3	3	3	3	3	4	3	3	29	20	47.0	16321	5	6	1957	1997	0.0	1277	0	207	1484	0	1600	1	0	1	0	2	1	6	2	1957.0	1	319	288	258	0	0	0	0	0	12	2006	12.24288661865289	1600
29	4	1	2	0	3	0	4	0	3	1	7	0	2	1	0	8	8	2	0	3	5	5	1	0	4	6	5	2	2	3	4	4	8	4	3	3	3	3	2	2	0	2	3	30	30	60.0	6324	4	6	1927	1950	0.0	0	0	520	520	0	520	0	0	1	0	1	1	4	0	1920.0	1	240	49	0	87	0	0	0	0	5	2008	11.134589024250317	520
30	0	1	1	3	3	0	4	0	9	1	2	0	5	2	0	3	3	2	0	3	5	5	1	0	4	6	5	2	0	3	2	4	8	4	3	2	3	3	3	3	0	3	2	31	70	50.0	8500	4	4	1920	1950	0.0	0	0	649	649	0	1317	0	0	1	0	3	1	6	0	1920.0	1	250	0	54	172	0	0	0	0	7	2008	10.596634733096073	1317
31	3	1	2	0	3	0	1	0	19	2	2	0	2	1	0	6	6	2	1	3	5	5	1	1	4	6	1	2	2	3	2	4	8	4	3	3	3	3	4	4	0	3	3	32	20	0.0	8544	5	6	1966	2006	0.0	0	0	1228	1228	0	1228	0	0	1	1	3	1	6	0	1966.0	1	271	0	65	0	0	0	0	0	6	2008	11.914047823644255	1228
32	3	1	2	3	3	0	0	0	5	2	2	0	2	1	0	12	13	2	2	0	5	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	5	3	5	4	0	3	3	33	20	85.0	11049	8	5	2007	2007	0.0	0	0	1234	1234	0	1234	0	0	2	0	3	1	7	0	2007.0	2	484	0	30	0	0	0	0	0	1	2008	12.100156419938624	1234
33	3	1	2	0	3	0	4	0	12	2	2	0	2	3	0	3	3	2	1	3	4	5	1	1	4	6	1	1	2	3	4	4	8	4	3	3	3	3	4	4	4	3	3	34	20	70.0	10552	5	5	1959	1959	0.0	1018	0	380	1398	0	1700	0	1	1	1	4	1	6	1	1959.0	2	447	0	38	0	0	0	0	0	4	2010	12.016726473799254	1700
34	3	1	2	3	3	0	4	0	16	2	2	4	2	3	0	8	8	1	2	3	2	5	1	1	4	6	1	0	2	3	4	4	8	4	5	3	5	3	5	5	4	3	3	35	120	60.0	7313	9	5	2005	2005	246.0	1153	0	408	1561	0	1561	1	0	2	0	2	1	6	1	2005.0	2	556	203	47	0	0	0	0	0	8	2007	12.533576212168626	1561
35	3	1	2	3	3	0	4	0	16	2	2	0	5	1	0	12	13	3	2	0	5	5	1	1	4	6	3	0	2	3	4	4	8	4	4	3	5	3	5	4	4	3	3	36	60	108.0	13418	8	5	2004	2005	132.0	0	0	1117	1117	0	2452	0	0	3	1	4	1	9	1	2004.0	3	691	113	32	0	0	0	0	0	9	2006	12.641096555879882	2452
36	3	1	2	3	3	0	0	0	5	2	2	0	2	1	0	12	13	2	2	3	5	5	1	1	4	6	1	2	2	3	4	4	8	4	3	3	4	3	5	3	0	3	3	37	20	112.0	10859	5	5	1994	1995	0.0	0	0	1097	1097	0	1097	0	0	1	1	3	1	6	0	1995.0	2	672	392	64	0	0	0	0	0	6	2009	11.884489021402711	1097
37	3	1	2	3	3	0	4	0	12	2	2	0	2	3	0	13	14	1	1	3	4	5	1	1	4	6	1	0	2	3	4	4	8	4	3	3	3	3	4	3	3	3	3	38	20	74.0	8532	5	6	1954	1990	650.0	1213	0	84	1297	0	1297	0	1	1	0	3	1	5	1	1954.0	2	498	0	0	0	0	0	0	0	10	2009	11.938193200374572	1297
38	3	1	2	3	3	0	4	0	12	2	2	0	2	1	0	12	13	2	1	3	2	5	1	1	4	6	5	2	2	3	4	4	8	0	3	4	3	3	3	4	0	3	3	39	20	68.0	7922	5	7	1953	2007	0.0	731	0	326	1057	0	1057	1	0	1	0	3	1	5	0	1953.0	1	246	0	52	0	0	0	0	0	1	2010	11.59910316121128	1057
39	3	1	2	3	3	0	4	0	7	2	2	2	2	1	0	0	10	2	2	4	6	6	1	0	2	6	6	3	0	3	4	4	8	1	3	3	0	0	3	2	0	0	0	40	90	65.0	6040	4	5	1955	1955	0.0	0	0	0	0	0	1152	0	0	2	0	2	2	6	0	0.0	0	0	0	0	0	0	0	0	0	6	2008	11.314474526246391	1152
40	3	1	2	3	3	0	4	0	12	2	2	0	2	1	0	13	14	1	1	3	4	5	1	1	4	6	1	1	2	3	1	4	8	0	3	3	3	3	5	3	3	3	3	41	20	84.0	8658	6	5	1965	1965	101.0	643	0	445	1088	0	1324	0	0	2	0	3	1	6	1	1965.0	2	440	0	138	0	0	0	0	0	12	2006	11.982929094215963	1324
41	3	1	2	3	3	0	4	0	23	2	2	0	2	1	0	12	13	2	1	1	1	5	1	1	4	6	1	1	1	3	4	4	8	4	3	4	3	3	4	3	4	3	3	42	20	115.0	16905	5	6	1959	1959	0.0	967	0	383	1350	0	1328	0	1	1	1	2	1	5	2	1959.0	1	308	0	104	0	0	0	0	0	7	2007	12.043553716032399	1328
42	3	1	2	0	3	0	1	0	20	2	2	0	6	1	0	6	6	2	1	0	0	3	1	1	4	6	1	1	2	3	2	4	8	4	3	3	4	3	4	4	0	3	4	43	85	0.0	9180	5	7	1983	1983	0.0	747	93	0	840	0	884	1	0	1	0	2	1	5	0	1983.0	2	504	240	0	0	0	0	0	0	12	2007	11.877568578558138	884
43	3	1	2	0	3	0	1	0	5	2	2	0	2	3	0	12	13	2	1	0	3	1	1	1	4	6	5	2	2	3	2	4	8	4	3	3	4	3	3	3	0	3	3	44	20	0.0	9200	5	6	1975	1980	0.0	280	491	167	938	0	938	1	0	1	0	3	1	5	0	1977.0	1	308	145	0	0	0	0	0	0	7	2008	11.777210959615614	938
44	3	1	2	3	3	0	4	0	12	2	2	0	2	1	0	3	14	2	1	3	0	1	1	1	0	6	1	1	2	3	4	4	8	4	3	3	3	3	5	3	0	3	3	45	20	70.0	7945	5	6	1959	1959	0.0	179	506	465	1150	0	1150	1	0	1	0	3	1	6	0	1959.0	1	300	0	0	0	0	0	0	0	5	2006	11.856515169360305	1150
45	3	1	2	3	3	0	4	0	16	2	2	4	2	3	0	8	8	1	2	3	2	5	1	1	4	6	1	1	2	3	4	4	8	4	5	3	5	3	5	5	4	3	3	46	120	61.0	7658	9	5	2005	2005	412.0	456	0	1296	1752	0	1752	1	0	2	0	2	1	6	1	2005.0	2	576	196	82	0	0	0	0	0	2	2010	12.675763725937609	1752
46	3	1	2	0	3	0	1	0	11	2	2	0	0	1	0	12	13	2	2	3	2	5	1	1	4	6	1	1	2	3	4	4	8	0	4	3	5	3	5	4	5	3	3	47	50	48.0	12822	7	5	2003	2003	0.0	1351	0	83	1434	0	2149	1	0	1	1	1	1	6	1	2003.0	2	670	168	43	0	0	198	0	0	8	2009	12.387085012375499	2149
47	1	1	2	3	3	0	4	0	21	2	2	0	2	1	0	12	13	2	2	0	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	0	3	3	48	20	84.0	11096	8	5	2006	2006	0.0	24	0	1632	1656	0	1656	0	0	2	0	3	1	7	0	2006.0	3	826	0	146	0	0	0	0	0	7	2007	12.428015476267865	1656
48	4	1	2	3	3	0	4	0	17	2	2	1	5	1	0	8	8	2	0	3	5	5	1	1	4	6	6	3	0	3	4	4	6	5	3	3	3	3	4	3	0	0	0	49	190	33.0	4456	4	5	1920	2008	0.0	0	0	736	736	0	1452	0	0	2	0	2	3	8	0	0.0	0	0	0	0	102	0	0	0	0	6	2009	11.635143097694478	1452
49	3	1	2	3	3	0	4	0	19	2	2	0	2	1	0	6	6	2	1	3	1	5	1	1	4	6	1	2	2	3	2	4	8	4	3	3	3	3	5	3	0	3	3	50	20	66.0	7742	5	7	1966	1966	0.0	763	0	192	955	0	955	1	0	1	0	3	1	6	0	1966.0	1	386	0	0	0	0	0	0	0	1	2007	11.751942365440728	955
50	3	1	2	1	3	0	0	0	8	2	2	0	5	1	0	12	13	2	2	0	2	5	1	1	4	6	1	0	2	3	4	4	8	4	3	3	4	3	4	3	0	3	3	51	60	0.0	13869	6	6	1997	1997	0.0	182	0	612	794	0	1470	0	1	2	0	3	1	6	0	1997.0	2	388	0	75	0	0	0	0	0	7	2007	12.083905011555967	1470
51	4	1	2	3	3	0	4	0	3	2	2	0	0	1	0	13	14	2	2	3	5	5	1	1	4	6	5	2	2	3	2	2	8	4	3	3	3	3	3	3	4	3	3	52	50	52.0	6240	6	6	1934	1950	0.0	0	0	816	816	360	1176	0	0	1	0	3	1	6	1	1985.0	2	528	112	0	0	0	0	0	400	9	2006	11.648330101976432	816
52	4	0	2	1	0	0	0	1	9	8	2	2	2	1	0	13	14	2	1	1	3	2	1	0	4	6	4	2	2	3	4	4	8	4	2	3	4	3	3	3	0	3	3	53	90	110.0	8472	5	5	1963	1963	0.0	104	712	0	816	0	816	1	0	1	0	2	1	5	0	1963.0	2	516	106	0	0	0	0	0	0	5	2010	11.608235644774552	816
53	3	1	2	0	2	0	4	0	24	2	2	0	2	1	6	14	15	2	1	1	2	5	1	1	4	6	1	0	2	3	4	4	8	4	4	3	5	3	4	4	4	3	3	54	20	68.0	50271	9	5	1981	1987	0.0	1810	0	32	1842	0	1842	2	0	0	1	0	1	5	1	1981.0	3	894	857	72	0	0	0	0	0	11	2006	12.86099861326992	1842
54	3	1	2	3	0	0	4	1	12	2	2	0	7	1	0	8	8	2	1	3	0	5	1	1	4	2	5	2	2	3	2	4	8	4	3	3	3	3	3	3	3	3	3	55	80	60.0	7134	5	5	1955	1955	0.0	384	0	0	384	0	1360	0	0	1	0	3	1	6	1	1962.0	2	572	0	50	0	0	0	0	0	2	2007	11.77528972943772	1360
55	3	1	2	0	3	0	4	0	12	2	2	0	2	1	0	6	10	1	1	3	1	5	1	1	4	6	1	1	2	3	4	4	8	4	3	3	3	3	4	3	4	3	3	56	20	100.0	10175	6	5	1964	1964	272.0	490	0	935	1425	0	1425	0	0	2	0	3	1	7	1	1964.0	2	576	0	0	0	407	0	0	0	7	2008	12.103486056755072	1425
56	1	1	1	3	3	0	4	0	21	2	2	3	5	1	0	8	8	1	2	3	2	5	1	1	4	6	1	0	2	3	4	4	8	0	4	3	4	3	5	4	0	3	3	57	160	24.0	2645	8	5	1999	2000	456.0	649	0	321	970	0	1739	1	0	2	1	3	1	7	0	1999.0	2	480	115	0	0	0	0	0	0	8	2009	12.058152515453552	1739
57	3	1	2	0	3	0	0	0	5	2	2	0	5	1	0	12	13	2	2	3	5	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	0	3	3	58	60	89.0	11645	7	5	2004	2004	0.0	0	0	860	860	0	1720	0	0	2	1	3	1	7	0	2004.0	2	565	0	70	0	0	0	0	0	8	2006	12.188417710291453	1720
58	3	1	2	1	1	0	1	0	22	2	2	0	5	3	0	12	13	1	2	1	5	5	1	1	4	6	3	0	2	3	4	4	6	5	5	3	5	3	5	4	4	3	3	59	60	66.0	13682	10	5	2006	2006	1031.0	0	0	1410	1410	0	2945	0	0	3	1	3	1	10	1	2006.0	3	641	192	0	37	0	0	0	0	10	2006	12.991753427493052	2945
59	3	1	2	3	0	0	4	0	5	2	2	0	2	1	0	6	6	2	1	0	0	5	1	1	4	6	5	2	2	3	2	4	8	4	3	3	3	3	5	3	0	3	3	60	20	60.0	7200	5	7	1972	1972	0.0	632	0	148	780	0	780	0	0	1	0	2	1	4	0	1973.0	1	352	196	0	0	0	0	0	0	1	2008	11.73526869611367	780
60	3	1	2	3	3	0	4	0	20	5	2	0	2	1	0	12	13	2	2	3	0	5	1	1	4	6	5	2	2	3	4	4	6	5	3	3	4	3	5	4	0	3	3	61	20	63.0	13072	6	5	2004	2004	0.0	941	0	217	1158	0	1158	1	0	1	1	3	1	5	0	2006.0	2	576	0	50	0	0	0	0	0	5	2006	11.970350312009105	1158
61	4	1	2	3	3	0	4	0	9	2	2	0	4	1	0	8	8	2	0	3	5	5	1	0	4	6	5	2	0	3	4	4	8	4	3	3	3	2	3	2	0	3	3	62	75	60.0	7200	5	7	1920	1996	0.0	0	0	530	530	0	1111	0	0	1	0	3	1	6	0	1935.0	1	288	0	0	144	0	0	0	0	3	2007	11.522875795823397	1111
62	3	1	2	0	3	0	4	0	16	2	2	4	2	1	0	12	13	3	2	2	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	4	5	4	4	3	3	63	120	44.0	6442	8	5	2006	2006	178.0	24	0	1346	1370	0	1370	0	0	2	0	2	1	6	1	2006.0	2	484	120	49	0	0	0	0	0	10	2007	12.218495165528731	1370
63	4	1	2	0	0	0	4	0	17	6	1	0	5	1	0	11	12	2	0	3	5	5	1	1	4	6	5	2	2	3	0	4	8	4	3	3	3	3	4	3	0	3	3	64	70	50.0	10300	7	6	1921	1950	0.0	0	0	576	576	0	1710	0	0	2	0	3	1	9	0	1990.0	2	480	12	11	64	0	0	0	0	4	2010	11.84939770159144	1710
64	3	1	2	3	3	0	4	0	5	2	2	0	5	1	0	12	13	1	2	3	2	5	1	1	4	6	1	1	2	3	0	4	8	4	3	3	4	3	5	4	0	3	3	65	60	0.0	9375	7	5	1997	1998	573.0	739	0	318	1057	0	2034	1	0	2	1	3	1	8	0	1998.0	2	645	576	36	0	0	0	0	0	2	2009	12.299107511497363	2034
65	3	1	2	3	3	0	4	0	16	2	2	0	5	1	0	12	13	1	2	0	5	5	1	1	4	6	3	1	2	3	4	4	8	4	4	3	5	3	5	4	4	3	3	66	60	76.0	9591	8	5	2004	2005	344.0	0	0	1143	1143	0	2473	0	0	2	1	4	1	9	1	2004.0	3	852	192	151	0	0	0	0	0	10	2007	12.666657052859417	2473
66	3	1	2	3	3	0	4	0	12	3	2	0	2	1	0	9	10	1	1	1	2	5	1	1	4	2	1	1	2	3	4	4	8	4	3	3	4	3	3	3	4	3	3	67	20	0.0	19900	7	5	1970	1989	287.0	912	0	1035	1947	0	2207	1	0	2	0	3	1	7	1	1970.0	2	576	301	0	0	0	0	0	0	7	2010	12.100712129872347	2207
67	3	1	2	0	3	0	4	0	5	2	2	0	2	1	0	12	13	1	2	0	2	5	1	1	4	6	1	1	2	3	4	4	8	4	4	3	4	3	5	4	0	3	3	68	20	72.0	10665	7	5	2003	2003	167.0	1013	0	440	1453	0	1479	1	0	2	0	3	1	7	0	2003.0	2	558	144	29	0	0	0	0	0	6	2007	12.328290278254423	1479
68	4	1	2	3	3	0	0	0	17	0	2	0	2	1	0	8	8	2	1	3	5	5	1	1	4	6	1	2	2	3	4	4	8	4	3	4	3	3	3	3	0	3	3	69	30	47.0	4608	4	6	1945	1950	0.0	0	0	747	747	0	747	0	0	1	0	2	1	4	0	1945.0	1	220	0	0	0	0	0	0	0	6	2010	11.289781913656018	747
69	3	1	2	3	3	0	0	0	4	2	2	0	0	1	0	3	0	2	1	3	1	5	2	1	4	6	1	0	2	3	4	4	8	4	4	3	3	3	3	3	3	3	3	70	50	81.0	15593	7	4	1953	1953	0.0	603	0	701	1304	0	2287	0	0	2	0	3	1	7	1	1953.0	2	667	0	21	114	0	0	0	0	7	2006	12.323855681186558	2287
70	3	1	2	0	3	0	4	0	12	2	2	0	2	1	0	9	10	1	1	1	0	5	1	1	4	6	1	0	2	3	4	4	8	4	3	4	4	3	5	3	4	3	3	71	20	95.0	13651	7	6	1973	1973	1115.0	1880	0	343	2223	0	2223	1	0	2	0	3	1	8	2	1973.0	2	516	300	0	0	0	0	0	0	2	2007	12.404923504275338	2223
